trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.5, 'e': 0.47058664158564995}",20,2,-6.440231182196912,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.4658807751697934}",20,0,-36.657651758865335,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.4612219674180955}",20,10,-14.655483766125103,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.45660974774391455}",30,0,-28.614668825764422,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.4520436502664754}",25,0,-5.663624559637403,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.44752321376381066}",20,0,-44.65285344868186,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.44304798162617254}",30,9,-43.230098642324464,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.4386175018099108}",20,0,15.723807300964552,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.4342313267918117}",20,6,11.613498935856281,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238936}",25,15,-7.428441041658717,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.42559012338865465}",25,0,-41.466688858479216,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.4213342221547681}",20,11,1.0046783212254349,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322045}",20,0,12.433355225010986,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388825}",30,18,15.249150456143386,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.40882017442254937}",25,6,8.680106021773437,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783239}",20,12,0.6088475500283581,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154065}",20,0,-42.30485353634861,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.39667780642202527}",30,0,-31.552601917012595,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.392711028357805}",30,12,10.68239038343749,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.38878391807422696}",20,14,-5.5435866611054925,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3848960788934847}",30,0,-116.20039179923134,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
96,False,"{'a': 0.5, 'e': 0.38104711810454983}",20,12,15.77583364857598,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350434}",30,17,12.672006993762764,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426927}",25,7,13.584905215830233,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.36972963764972655}",20,0,-8.225701413202788,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.36603234127322926}",20,5,-24.84768011080533,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.36237201786049694}",20,8,12.644906196296334,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.358748297681892}",30,18,-30.986901019863787,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.35516081470507305}",25,0,-58.82793837966814,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.3516092065580223}",20,14,12.502982025826906,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.34809311449244207}",25,13,-2.995378429944511,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.34461218334751764}",20,15,-2.7841411809673953,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",20,8,-82.28290297834218,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",30,15,17.077868788476096,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",25,9,-76.0363748944829,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",20,6,-52.69702020752935,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",20,8,10.679888617377202,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",25,1,-7.664539603549601,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",30,12,6.885303256767548,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",30,10,-10.677347685646701,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",25,10,19.277587886370778,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",20,0,2.6396580547729513,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",25,8,22.500069980875274,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30545902592830454}",30,17,-0.7958329856762842,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3024044356690215}",25,20,7.670027039991445,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.29938039131233124}",25,10,3.4549229055118316,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2963865873992079}",25,17,6.346309254210565,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.29342272152521587}",30,3,-32.979296968635325,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.2904884943099637}",20,0,13.25180768316526,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.28758360936686406}",25,12,14.271345269297615,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2847077732731954}",20,11,19.626620761398982,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.28186069554046345}",20,10,17.270655430335484,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2790420885850588}",25,17,-7.261775367166423,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992082}",20,9,-13.678870207200301,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27348915102221616}",25,12,4.422973808466418,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.270754259511994}",20,11,-2.7692885694757194,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.26804671691687404}",25,11,-32.953665357100455,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.2653662497477053}",20,14,4.044797211793663,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502282}",30,19,-29.331663391891947,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.2600854613777259}",20,0,-16.07388068002251,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.2574846067639487}",30,7,37.74610413659409,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2549097606963092}",25,1,-98.99987489592593,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 2}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893461}",20,11,15.300640642441234,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.24983705645845267}",30,5,35.699439920015536,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386815}",20,8,21.033783733450655,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492946}",35,21,-44.12278376197603,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
141,False,"{'a': 0.5, 'e': 0.24241664604458016}",20,12,1.2690826819679355,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.23999247958413436}",25,17,13.52464167795864,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",30,15,27.20042977748956,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.2352166292404101}",30,7,17.562640789737838,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",25,13,1.837323477193816,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",20,9,20.73781907735851,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",25,15,20.10093677928929,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",30,4,32.74073546169811,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22368867397864742}",20,15,9.64724404368322,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886094}",25,12,15.700113956719129,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.21923726936647234}",20,9,8.064609189351991,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2170448966728076}",20,12,12.278012986401853,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21487444770607952}",20,9,19.891893119096405,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21272570322901874}",30,12,5.548927767143418,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
